Ticker1,Ticker2,Sector1,Sector2,Same_Sector,p_value,Beta,Intercept,Total_Return,Sharpe
IMP.JO,AEG.JO,Resources,Construction,False,3.619389819867683e-06,0.02660232584853031,2472.3462612896183,16070.515758838752,0.4677387244576367
APN.JO,RDF.JO,Healthcare,Property,False,1.0093088010798764e-05,70.73290205016563,-45016.25675099681,43169.35732556811,0.5882303066345353
WHL.JO,RDF.JO,Industrials,Property,False,1.726698633787052e-05,17.596174579643296,-10749.432520609254,12990.912511283776,0.7537016726546198
AVI.JO,RDF.JO,Industrials,Property,False,2.707180691064003e-05,15.773909153566096,-9037.987953444972,11758.428285613374,0.7431929795191161
FSR.JO,SLM.JO,Financials,Financials,True,5.836450815804284e-05,0.7180200618466122,22.762995797187692,2440.0558997604003,0.6059666585372534
MRP.JO,RDF.JO,Consumer,Property,False,6.0657530298609514e-05,42.982296913914915,-27148.062422835326,33448.76813461482,0.7155243805138839
RMH.JO,RDF.JO,Financials,Property,False,9.826364533811101e-05,0.17578741639274004,-103.00480490558071,200.30536692042068,1.234282819598445
DSY.JO,RDF.JO,Financials,Property,False,0.00011706941097678796,23.404968871979555,-14009.192403450124,22448.13087745066,1.0463766109936048
FSR.JO,RDF.JO,Financials,Property,False,0.00019150699341226082,8.802629536757964,-4912.2242653046715,8601.625223800234,1.0740327742340552
REM.JO,RDF.JO,Consumer,Property,False,0.00021576531754754406,34.15817319679704,-19970.89532671609,30174.229287346683,0.9442387057589657
FSR.JO,RMH.JO,Financials,Financials,True,0.0003905296113151843,50.26411578555046,239.05680646483606,3741.4286068042497,1.7409828388072919
BTI.JO,RDF.JO,Consumer,Property,False,0.00040911939199708626,149.83603410216952,-88001.74564288434,152169.49529370517,0.8616122998697686
RMH.JO,SLM.JO,Financials,Financials,True,0.0005786197155827487,0.014284387689523847,-4.3015903785563125,49.10096819848749,0.7334746242801228
SLM.JO,RDF.JO,Financials,Property,False,0.0005798919095435598,12.195479680373818,-6822.4807886644185,12665.635631986674,1.028689279976299
RDF.JO,HYP.JO,Property,Property,True,0.0007939624196376272,0.057294224270479734,453.30593326764455,1108.8725473517866,1.2896985068376237
SHP.JO,VKE.JO,Industrials,Property,False,0.0016532145247973005,17.22032347729311,-13324.614923035335,24078.097667829687,0.7097731243933916
RMH.JO,DSY.JO,Financials,Financials,True,0.0020627008903274778,0.007427393532836905,2.58476231081414,76.02265586290474,0.987801197721954
SPP.JO,RDF.JO,Consumer,Property,False,0.0021082650250071073,27.898708890777215,-13020.457100887656,27780.503337216527,0.9356569101418958
GRT.JO,RDF.JO,Property,Property,True,0.002933410763105894,2.87119433356582,-478.97387240295967,2912.163767283711,1.2522996192479643
ANG.JO,GFI.JO,Resources,Resources,True,0.00458956206639315,2.2878758297766013,5977.8787162069575,14423.832769575361,0.3614059064448185
